"id","from","to"
227,/news/superman_vol_3_22_on_samyj/2018-04-27-1336,/dc/superman-2011/1727-superman-22.html
228,/load/punisher_max_10/1-1-0-1106,/max/punisher-2004/2017-punisher-max-10.html
229,/news/den_rozhdenija_frehnka/2014-04-26-559,/max/punisher-2004/2018-punisher-max-11.html
230,/news/den_rozhdenija_el_hefe/2014-06-05-572,/max/punisher-2004/2019-punisher-max-12.html
231,/news/punisher_max_13_eh_ehj_ukhnem/2015-11-30-790,/max/punisher-2004/2038-punisher-max-13.html
232,/news/punisher_max_19_20_v_ehfire_karatel/2014-10-05-618,/max/punisher-2004/2020-punisher-max-19.html
233,/news/punisher_max_21_22_den_rozhdenija_vast_39_a/2015-01-22-663,/max/punisher-2004/2022-punisher-max-21.html
234,/news/punisher_max_23_24_dobavim_mrachnosti/2015-07-04-720,/max/punisher-2004/2024-punisher-max-23.html
235,/load/choker_5/68-1-0-1100,/image/choker-2010/158-choker-05.html
236,/load/star_trek_burden_of_knowledge_3/85-1-0-1120,/idw/star-trek-the-burden-of-knowledge-2010/1956-star-trek-the-burden-of-knowledge-03.html
237,/news/brutal_nature_concrete_fury_04_s_dnjom_rozhdenija_lotran/2018-06-26-1381,/idw/brutal-nature-concrete-fury-2017/1978-brutal-nature-concrete-fury-04.html
238,/load/vampirella_monthly_25/211-1-0-1184,/harris/vampirella-1997/1709-vampirella-25.html
239,/news/teen_titans_44_s_prazdnikom_muzhiki/2016-02-23-831,/dc/teen-titans-2003/1044-teen-titans-044.html
240,/news/teen_titans_71_rpju_skhodit_s_uma/2015-01-23-664,/dc/teen-titans-2003/1053-teen-titans-071.html
241,/publ/rpu/instrukcii/zvuki_v_komiksakh/27-1-0-135,/zvuki-v-komiksah.html
242,/easy-prey/scurry-2017/,/easy-prey/scurry-the-doomed-colony-2017/
243,/europe/nelson/,https://rp-universe.ru/europe/nelson-2018/
244,/dc/batman-the-dailies-strips/,https://rp-universe.ru/dc/batman-the-dailies-1943-1946/
245,/bluewater/bluewater-oneshots/,https://rp-universe.ru
246,/bluewater/,https://rp-universe.ru
247,/coffee-table/remind-2012/956-remind-02.html,https://rp-universe.ru/coffee-table/remind-2012/955-remind-01.html
248,/coffee-table/remind-2012/957-remind-03.html,https://rp-universe.ru/coffee-table/remind-2012/955-remind-01.html
249,/coffee-table/remind-2012/3777-remind-4.html,https://rp-universe.ru/coffee-table/remind-2012/6920-remind-02.html
